datetime,search_config,query_set_id,query,metric,value
2024-06-30,research_1,sampled_queries,columbia women,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,connection without contact,dcg,0.0
2024-06-30,research_1,sampled_queries,costumes capes,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,cruz comunion niño,dcg,1.8912412707177813
2024-06-30,research_1,sampled_queries,cute kitchen mat,dcg,0.0
2024-06-30,research_1,sampled_queries,deku sweatshirt,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,delgaden pm,dcg,0.1170574755672868
2024-06-30,research_1,sampled_queries,dell wh type mr90y battery,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,diamond earrings for women,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,diapers size 2 honest company,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,door for exterior,dcg,0.0
2024-06-30,research_1,sampled_queries,door stopper,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,easy up 4t-5t,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,eboks for kindle,dcg,1.0
2024-06-30,research_1,sampled_queries,el libro de la alegria,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,energy snacks for sports,dcg,0.0
2024-06-30,research_1,sampled_queries,eve of chaos sylvia day,dcg,0.1170574755672868
2024-06-30,research_1,sampled_queries,explorer k2,dcg,0.1170574755672868
2024-06-30,research_1,sampled_queries,extension cable mc4,dcg,1.0
2024-06-30,research_1,sampled_queries,fake groceries,dcg,1.0
2024-06-30,research_1,sampled_queries,farmhouse bathroom rug,dcg,0.1170574755672868
2024-06-30,research_1,sampled_queries,fifine,dcg,0.0
2024-06-30,research_1,sampled_queries,fishing pole,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,fitbitcharge 3 bands,dcg,0.0
2024-06-30,research_1,sampled_queries,flick 雑誌,dcg,2.1309297535714578
2024-06-30,research_1,sampled_queries,fnaf action figures pizza simulator,dcg,0.0
2024-06-30,research_1,sampled_queries,ghs silk and steel acoustic guitar strings,dcg,0.0
2024-06-30,research_1,sampled_queries,gi blues,dcg,0.0
2024-06-30,research_1,sampled_queries,giant genie hat,dcg,1.0452840130309937
2024-06-30,research_1,sampled_queries,gold shirt women,dcg,0.0
2024-06-30,research_1,sampled_queries,gold watches for men,dcg,1.0
2024-06-30,research_1,sampled_queries,graduation gifts,dcg,1.0811707442991403
2024-06-30,research_1,sampled_queries,green wall decals,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,grey pocket book,dcg,0.0
2024-06-30,research_1,sampled_queries,habitrail ovo twist,dcg,0.07177346253629313
2024-06-30,research_1,sampled_queries,harley quinn costume for toddler girls,dcg,0.0
2024-06-30,research_1,sampled_queries,haven dvd,dcg,1.6309297535714575
2024-06-30,research_1,sampled_queries,headboard king,dcg,1.6309297535714575
